context,experiment,body_part_count,body_part_mode,body_part,model,macro_f1_mean,context_label,model_label,rank
light,only_head_plus_light,1,single,head,xgboost,0.705850893126731,Baseline + light,XGBoost,151
all_context,only_head_plus_all,1,single,head,random_forest,0.7054988666804479,Baseline + all context,Random Forest,152
all_context,only_thigh_plus_all,1,single,thigh,random_forest,0.7031254310570847,Baseline + all context,Random Forest,153
light,only_chest_plus_light,1,single,chest,random_forest,0.700792515560877,Baseline + light,Random Forest,154
light,only_waist_plus_light,1,single,waist,random_forest,0.7000023734686665,Baseline + light,Random Forest,155
all_context,only_upperarm_plus_all,1,single,upperarm,xgboost,0.6989344483898564,Baseline + all context,XGBoost,156
all_context,only_chest_plus_all,1,single,chest,random_forest,0.6987470677995451,Baseline + all context,Random Forest,157
light,only_waist_plus_light,1,single,waist,xgboost,0.6980380219788198,Baseline + light,XGBoost,158
baseline,only_upperarm,1,single,upperarm,xgboost,0.6974311468409875,Baseline,XGBoost,159
light,only_shin_plus_light,1,single,shin,xgboost,0.6962427111882505,Baseline + light,XGBoost,160
baseline,only_chest,1,single,chest,xgboost,0.695448412401587,Baseline,XGBoost,161
all_context,only_chest_plus_all,1,single,chest,svm,0.6952589243784815,Baseline + all context,SVM,162
gps,only_waist_plus_gps,1,single,waist,random_forest,0.6940167804502415,Baseline + GPS,Random Forest,163
baseline,only_head,1,single,head,random_forest,0.6932023176288078,Baseline,Random Forest,164
gps,only_upperarm_plus_gps,1,single,upperarm,xgboost,0.6913654299195998,Baseline + GPS,XGBoost,165
baseline,only_chest,1,single,chest,random_forest,0.6912001987630754,Baseline,Random Forest,166
all_context,only_shin_plus_all,1,single,shin,xgboost,0.6901936470013424,Baseline + all context,XGBoost,167
light,only_chest_plus_light,1,single,chest,svm,0.6897150052650746,Baseline + light,SVM,168
gps,only_thigh_plus_gps,1,single,thigh,xgboost,0.686032448523471,Baseline + GPS,XGBoost,169
gps,only_chest_plus_gps,1,single,chest,xgboost,0.6856558194036924,Baseline + GPS,XGBoost,170
mic,only_head_plus_mic,1,single,head,random_forest,0.6846084672365073,Baseline + microphone,Random Forest,171
all_context,only_head_plus_all,1,single,head,xgboost,0.6838121976873003,Baseline + all context,XGBoost,172
all_context,only_thigh_plus_all,1,single,thigh,svm,0.6802220533999489,Baseline + all context,SVM,173
mic,only_head_plus_mic,1,single,head,xgboost,0.6798156682677778,Baseline + microphone,XGBoost,174
light,only_thigh_plus_light,1,single,thigh,xgboost,0.6783459228087941,Baseline + light,XGBoost,175
baseline,only_thigh,1,single,thigh,svm,0.6737373101409522,Baseline,SVM,176
