model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,context,experiment,body_part_count,body_part_mode,body_part
svm,0.6926864955105463,0.1492725485667866,0.6925934861873845,0.169186406331174,0.6985009211522295,0.147497306667366,0.6560476661778221,0.1658111978564918,light,only_thigh_plus_light,1,single,thigh
svm,0.7634525595005432,0.1506591797912069,0.7643310559330803,0.1691161978394404,0.7722981338745759,0.150741507436062,0.7314020878362801,0.175664886059594,light,only_upperarm_plus_light,1,single,upperarm
svm,0.7816567628451576,0.1498604035790226,0.7769065654170552,0.1739829231237489,0.7837549521766423,0.1527027224361612,0.7450270283376539,0.1854948571008054,light,only_waist_plus_light,1,single,waist
xgboost,0.6943770771830792,0.141503464488472,0.6765839275871516,0.178275998847929,0.7002270459657451,0.1394277644036621,0.6493837659543528,0.1636313700302775,light,only_chest_plus_light,1,single,chest
xgboost,0.7745130190902785,0.1560330286235673,0.7693122885334667,0.1755296361242551,0.7792528317973505,0.1551634806705892,0.7554607804617689,0.1746163764296516,light,only_forearm_plus_light,1,single,forearm
xgboost,0.7335432511793231,0.1206150606779773,0.7377595644818976,0.1269144186003021,0.7402226783783071,0.1168316413964341,0.705850893126731,0.1406563784452205,light,only_head_plus_light,1,single,head
xgboost,0.7248318472561066,0.1736548854122913,0.721928987410453,0.1895755359661953,0.7276903355872266,0.1736468972543493,0.6962427111882505,0.1897999760717829,light,only_shin_plus_light,1,single,shin
xgboost,0.7243926336003097,0.2010837179038917,0.732864430158204,0.2099688446479134,0.7325008462492542,0.1877506066448825,0.6783459228087941,0.2335970865268295,light,only_thigh_plus_light,1,single,thigh
xgboost,0.7630862581759367,0.158745999736728,0.7543066687091616,0.1878415643451547,0.7696053563778383,0.1583804816925502,0.7337307392737947,0.1846840439011631,light,only_upperarm_plus_light,1,single,upperarm
xgboost,0.7474785192128114,0.0982769745803006,0.7254851874850244,0.1416760094708867,0.7493014962723156,0.0941194031058388,0.6980380219788198,0.1197155460798288,light,only_waist_plus_light,1,single,waist
random_forest,0.8027915153374721,0.1579906443054575,0.8172297888907275,0.1986984094591994,0.8079398087201295,0.1566603271257656,0.7825889793083507,0.1895495624873969,light,first_2_parts_plus_light,2,progressive,first_2
svm,0.8158009589589743,0.1757789576973103,0.818814566040134,0.1888556195893513,0.8186150318646096,0.173423811425341,0.8023838194428865,0.1885695588126548,light,first_2_parts_plus_light,2,progressive,first_2
